X1.1,X1.2,X1.3,X1.4,Y1.1,Y1.2,Y1.3,A,B,C,D,E,X2,X1
4,4,5,4,4,4,4,4,4.33333,3.66667,4.25,4,4,4.5
3,3,4,4,3,5,3,3,4.33333,3.66667,3.5,3.66666666666667,3,4
5,5,3,5,3,4,4,4,4.33333,3.66667,4.5,3.66666666666667,5,4
3,3,3,3,3,4,3,2.66667,3,2.66667,3,3.33333333333333,3,3
3,3,3,4,4,4,4,3.66667,3.66667,3.33333,3.25,4,3,3.5
5,5,5,5,4,4,4,3.66667,3.66667,4.66667,5,4,5,5
5,3,4,5,5,5,4,3.66667,3.66667,4.66667,4.25,4.66666666666667,4,4.5
4,5,5,4,5,5,5,4.33333,3.66667,4.66667,4.5,5,4.5,4.5
4,4,5,3,4,3,4,3.66667,3.33333,4.33333,4,3.66666666666667,4,4
3,4,5,4,5,3,5,4,4.33333,4.66667,4,4.33333333333333,3.5,4.5
5,3,3,3,3,4,4,3.66667,3.66667,3.66667,3.5,3.66666666666667,4,3
4,4,5,4,4,5,4,3.66667,4,4.33333,4.25,4.33333333333333,4,4.5
5,4,5,5,3,4,3,3.66667,4,4.66667,4.75,3.33333333333333,4.5,5
4,5,5,3,3,4,4,4,4.33333,3.66667,4.25,3.66666666666667,4.5,4
4,4,4,5,4,5,4,3.66667,3.66667,4.66667,4.25,4.33333333333333,4,4.5
5,4,5,5,4,5,4,4.33333,4,4.66667,4.75,4.33333333333333,4.5,5
4,5,3,5,5,4,4,4.33333,3.66667,3.66667,4.25,4.33333333333333,4.5,4
4,5,3,4,5,4,4,3.66667,4,3.66667,4,4.33333333333333,4.5,3.5
5,4,4,5,5,4,5,4,4,3.66667,4.5,4.66666666666667,4.5,4.5
3,4,5,3,5,5,5,3.66667,4,4.66667,3.75,5,3.5,4
4,5,5,4,4,4,4,3.66667,4.66667,4,4.5,4,4.5,4.5
1,2,2,2,2,1,1,2,2.66667,2.66667,1.75,1.33333333333333,1.5,2
3,3,3,4,3,3,4,3.33333,3.33333,3.66667,3.25,3.33333333333333,3,3.5
5,5,3,3,3,3,4,3.66667,2.33333,2.66667,4,3.33333333333333,5,3
3,3,3,3,4,3,5,3.66667,2.33333,3,3,4,3,3
5,3,3,4,3,3,4,3.66667,3.66667,3.33333,3.75,3.33333333333333,4,3.5
5,4,5,5,4,3,4,4.66667,4.66667,3.66667,4.75,3.66666666666667,4.5,5
3,3,3,4,4,3,3,3.33333,3.33333,3.66667,3.25,3.33333333333333,3,3.5
5,4,4,4,4,5,5,3.66667,4.33333,4.33333,4.25,4.66666666666667,4.5,4
4,4,3,5,3,5,5,4,4,3.66667,4,4.33333333333333,4,4
3,3,2,3,3,3,3,3.33333,3,2.66667,2.75,3,3,2.5
5,4,4,4,5,4,4,4.66667,4.66667,4,4.25,4.33333333333333,4.5,4
5,4,3,4,5,5,5,4,4.33333,4.33333,4,5,4.5,3.5
3,4,3,5,3,4,4,3.66667,4,3.66667,3.75,3.66666666666667,3.5,4
3,3,4,4,3,4,4,4,4.33333,4,3.5,3.66666666666667,3,4
5,3,4,4,4,4,5,4.33333,4.66667,4.66667,4,4.33333333333333,4,4
4,5,3,5,5,4,5,3.66667,4.33333,4.33333,4.25,4.66666666666667,4.5,4
5,5,4,4,4,4,5,4.33333,3.66667,3.66667,4.5,4.33333333333333,5,4
5,3,5,4,3,5,3,4,4.33333,3.66667,4.25,3.66666666666667,4,4.5
4,4,4,4,4,5,5,4.66667,4,4.66667,4,4.66666666666667,4,4
5,4,3,4,5,5,3,3.66667,3.33333,3.66667,4,4.33333333333333,4.5,3.5
4,5,5,3,5,5,4,3.66667,3.66667,4.66667,4.25,4.66666666666667,4.5,4
5,5,5,4,4,3,4,4.66667,4.33333,4,4.75,3.66666666666667,5,4.5
4,3,5,3,5,4,5,4,4.33333,3.66667,3.75,4.66666666666667,3.5,4
4,5,3,3,5,5,5,4,4.66667,4,3.75,5,4.5,3
5,5,3,5,4,5,5,4,4,4.33333,4.5,4.66666666666667,5,4
5,5,5,5,5,3,3,4.33333,4,4.33333,5,3.66666666666667,5,5
4,3,4,5,3,3,5,4,4.33333,3.66667,4,3.66666666666667,3.5,4.5
4,3,5,3,5,3,5,4,4,4.66667,3.75,4.33333333333333,3.5,4
